key,English (en)
MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40017,Your certificate has been revoked. Please contact your service provider.
MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40020,Incorrect phone number and/or personal identification code. Phone number has to include the country code.
MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40021,Mobile-ID functionality not supported. Please double check phone number and/or id code.
MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40022,Your certficate has been suspended or revoked. Please contact your service provider.
MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40023,"Your certificate has not been activated. Please try again later. If the problem persists, contact your service provider."
MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40024,Your certificate has been suspended. Please contact your service provider.
MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40025,Your certificate has expired. Please contact your service provider.
MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40026,Unknown certificate. Contact your service provider.
MSG_ERROR_POST_API_TOPICS_VOTES_40020,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40020
MSG_ERROR_POST_API_TOPICS_VOTES_40021,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40021
MSG_ERROR_POST_API_TOPICS_VOTES_40022,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40022
MSG_ERROR_POST_API_TOPICS_VOTES_40023,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40023
MSG_ERROR_POST_API_TOPICS_VOTES_40024,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40024
MSG_ERROR_POST_API_TOPICS_VOTES_40025,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40025
MSG_ERROR_POST_API_TOPICS_VOTES_40026,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40026
MSG_ERROR_POST_API_USERS_TOPICS_COMMENTS_40000_TEXT,Statement text can be 1 to 2048 characters long.
MSG_ERROR_POST_API_USERS_TOPICS_COMMENTS_40000_SUBJECT,Main statement can be 1 to 128 characters long.
MSG_ERROR_POST_API_TOPICS_COMMENTS_REPORTS_40000_TYPE,Comment report reason is required
MSG_ERROR_POST_API_TOPICS_COMMENTS_REPORTS_40000_TEXT,Explanation text can be 1 to 2048 characters long.
MSG_ERROR_POST_API_TOPICS_COMMENTS_REPORTS_MODERATE_40010,Report has become invalid cause comment has been updated after the report.
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40010,You have cancelled the signing flow and your vote was not counted.
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40011,"The signing request has expired. To vote, please start over."
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40012,The signature is invalid. Your vote was not counted.
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40013,@:MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40013
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40014,@:MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40014
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40015,@:MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40015
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40016,@:MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40016
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40017,@:MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40017
MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_50001,"DigiDoc Service error. Please try again, if the problem persist contact customer support."
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40000,The voting has ended.
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40020,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40020
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40021,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40021
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40022,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40022
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40023,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40023
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40024,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40024
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40025,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40025
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40026,@:MSG_ERROR_POST_API_AUTH_MOBILE_INIT_40026
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40030,Personal identification code (PID) is already connected to another user account. Signing votes with the same PID from different user accounts is not allowed.
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40031,Your user account is already connected to another personal identification code (PID). We don't allow voting from the same account with different PID-s.
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_SIGN_40030,@:MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40030
MSG_ERROR_POST_API_USERS_TOPICS_VOTES_SIGN_40031,@:MSG_ERROR_POST_API_USERS_TOPICS_VOTES_40031
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40010,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40010
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40011,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40011
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40012,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40012
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40013,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40013
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40014,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40014
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40015,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40015
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40016,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40016
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_40017,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_40017
MSG_ERROR_GET_API_USERS_TOPICS_VOTES_STATUS_50001,@:MSG_ERROR_GET_API_TOPICS_VOTES_STATUS_50001
MSG_ERROR_POST_API_USERS_TOPICS_EVENTS_40000_TEXT,Text cannot be empty.
MSG_ERROR_HWCRYPTO_USER_CANCEL,You have cancelled the log in flow.
MSG_ERROR_HWCRYPTO_NO_CERTIFICATES,No card in reader. Check if the ID-card is inserted correctly to the reader. New ID-cards have chip on the back side of the card.
MSG_ERROR_HWCRYPTO_NO_IMPLEMENTATION,Digital signing support is not installed. Please visit installer.id.ee website to install the support.
MSG_ERROR_HWCRYPTO_TECHNICAL_ERROR,"Something went wrong in our system. We're very sorry! Please try one more time. If the error persists, please contact our customer support."
MSG_ERROR_PUT_API_USERS_GROUPS_MEMBERS_USERS_40000,Cannot revoke admin permissions from the last admin member in the Group. Assign new admin to change permissions of the current User.
MSG_ERROR_DELETE_API_USERS_GROUPS_MEMBERS_USERS_40000,You cannot leave this Group as you are the last admin user of this Group. Please assign a new admin to leave.
MSG_ERROR_DELETE_API_USERS_TOPICS_MEMBERS_USERS_40010,You cannot delete the last user with admin permissions. Assign a new admin to delete the user.
MSG_ERROR_PUT_API_USERS_TOPICS_MEMBERS_USERS_40000,You cannot remove admin permissions from the last admin user. Please assign admin permissions to another user to change the permissions of the current one.
MSG_ERROR_40300,You don't have permissions to complete the operation.
MSG_ERROR_40400,@:MSG_ERROR_POST_API_AUTH_SMARTID_INIT_40400
MSG_ERROR_50000,"Something went wrong in our system. We're very sorry! Please try one more time. If the error persists, please contact our customer support."
MSG_ERROR_NETWORK_PROBLEMS,"Network issues, please check your internet connection."
MSG_ERROR_ATTACHMENT_SIZE_OVER_LIMIT,Attachment is too big! Maximum size allowed is 50MB.
MSG_ERROR_ATTACHMENT_TYPE_NOT_ALLOWED,File type is not allowed!
MSG_ERROR_POST_API_USERS_TOPICS_ATTACHMENTS_40000_LINK,Attachment link is undefined!
MSG_ERROR_POST_API_USERS_TOPICS_ATTACHMENTS_40000_NAME,Attachment name is undefined!
